product,price,quantity,date,region,revenue
gold morsel,9.99,506,2018-02-16,north,5054.9400000000005
gold morsel,9.99,591,2018-02-16,south,5904.09
gold morsel,9.99,503,2018-02-16,east,5024.97
gold morsel,9.99,519,2018-02-16,west,5184.81
magenta morsel,2.5,548,2018-02-16,north,1370.0
magenta morsel,2.5,578,2018-02-16,south,1445.0
magenta morsel,2.5,518,2018-02-16,east,1295.0
magenta morsel,2.5,564,2018-02-16,west,1410.0
chartreuse morsel,3.0,500,2018-02-16,north,1500.0
chartreuse morsel,3.0,533,2018-02-16,south,1599.0
chartreuse morsel,3.0,501,2018-02-16,east,1503.0
chartreuse morsel,3.0,529,2018-02-16,west,1587.0
periwinkle morsel,1.25,597,2018-02-16,north,746.25
periwinkle morsel,1.25,521,2018-02-16,south,651.25
periwinkle morsel,1.25,557,2018-02-16,east,696.25
periwinkle morsel,1.25,542,2018-02-16,west,677.5
vermilion morsel,4.99,519,2018-02-16,north,2589.81
vermilion morsel,4.99,593,2018-02-16,south,2959.07
vermilion morsel,4.99,571,2018-02-16,east,2849.29
vermilion morsel,4.99,510,2018-02-16,west,2544.9
lapis morsel,1.99,515,2018-02-16,north,1024.85
lapis morsel,1.99,510,2018-02-16,south,1014.9
lapis morsel,1.99,521,2018-02-16,east,1036.79
lapis morsel,1.99,574,2018-02-16,west,1142.26
pink morsel,3.0,595,2018-02-17,north,1785.0
pink morsel,3.0,563,2018-02-17,south,1689.0
pink morsel,3.0,547,2018-02-17,east,1641.0
pink morsel,3.0,525,2018-02-17,west,1575.0
gold morsel,9.99,564,2018-02-17,north,5634.36
gold morsel,9.99,573,2018-02-17,south,5724.27
gold morsel,9.99,524,2018-02-17,east,5234.76
gold morsel,9.99,530,2018-02-17,west,5294.7
magenta morsel,2.5,595,2018-02-17,north,1487.5
magenta morsel,2.5,503,2018-02-17,south,1257.5
magenta morsel,2.5,580,2018-02-17,east,1450.0
magenta morsel,2.5,568,2018-02-17,west,1420.0
chartreuse morsel,3.0,528,2018-02-17,north,1584.0
chartreuse morsel,3.0,573,2018-02-17,south,1719.0
chartreuse morsel,3.0,578,2018-02-17,east,1734.0
chartreuse morsel,3.0,550,2018-02-17,west,1650.0
periwinkle morsel,1.25,555,2018-02-17,north,693.75
periwinkle morsel,1.25,531,2018-02-17,south,663.75
periwinkle morsel,1.25,515,2018-02-17,east,643.75
periwinkle morsel,1.25,545,2018-02-17,west,681.25
vermilion morsel,4.99,520,2018-02-17,north,2594.8
vermilion morsel,4.99,575,2018-02-17,south,2869.25
vermilion morsel,4.99,573,2018-02-17,east,2859.27
vermilion morsel,4.99,520,2018-02-17,west,2594.8
lapis morsel,1.99,515,2018-02-17,north,1024.85
lapis morsel,1.99,599,2018-02-17,south,1192.01
lapis morsel,1.99,569,2018-02-17,east,1132.31
lapis morsel,1.99,589,2018-02-17,west,1172.11
pink morsel,3.0,548,2018-02-18,north,1644.0
pink morsel,3.0,558,2018-02-18,south,1674.0
pink morsel,3.0,517,2018-02-18,east,1551.0
pink morsel,3.0,579,2018-02-18,west,1737.0
gold morsel,9.99,521,2018-02-18,north,5204.79
gold morsel,9.99,568,2018-02-18,south,5674.32
gold morsel,9.99,540,2018-02-18,east,5394.6
gold morsel,9.99,583,2018-02-18,west,5824.17
magenta morsel,2.5,575,2018-02-18,north,1437.5
magenta morsel,2.5,506,2018-02-18,south,1265.0
magenta morsel,2.5,532,2018-02-18,east,1330.0
magenta morsel,2.5,509,2018-02-18,west,1272.5
chartreuse morsel,3.0,591,2018-02-18,north,1773.0
chartreuse morsel,3.0,512,2018-02-18,south,1536.0
chartreuse morsel,3.0,539,2018-02-18,east,1617.0
chartreuse morsel,3.0,564,2018-02-18,west,1692.0
periwinkle morsel,1.25,513,2018-02-18,north,641.25
periwinkle morsel,1.25,529,2018-02-18,south,661.25
periwinkle morsel,1.25,577,2018-02-18,east,721.25
periwinkle morsel,1.25,504,2018-02-18,west,630.0
vermilion morsel,4.99,569,2018-02-18,north,2839.31
vermilion morsel,4.99,578,2018-02-18,south,2884.2200000000003
vermilion morsel,4.99,516,2018-02-18,east,2574.84
vermilion morsel,4.99,528,2018-02-18,west,2634.7200000000003
lapis morsel,1.99,575,2018-02-18,north,1144.25
lapis morsel,1.99,536,2018-02-18,south,1066.64
lapis morsel,1.99,504,2018-02-18,east,1002.96
lapis morsel,1.99,573,2018-02-18,west,1140.27
pink morsel,3.0,521,2018-02-19,north,1563.0
pink morsel,3.0,549,2018-02-19,south,1647.0
pink morsel,3.0,535,2018-02-19,east,1605.0
pink morsel,3.0,513,2018-02-19,west,1539.0
gold morsel,9.99,562,2018-02-19,north,5614.38
gold morsel,9.99,593,2018-02-19,south,5924.07
gold morsel,9.99,593,2018-02-19,east,5924.07
gold morsel,9.99,597,2018-02-19,west,5964.03
magenta morsel,2.5,511,2018-02-19,north,1277.5
magenta morsel,2.5,509,2018-02-19,south,1272.5
magenta morsel,2.5,590,2018-02-19,east,1475.0
magenta morsel,2.5,575,2018-02-19,west,1437.5
chartreuse morsel,3.0,519,2018-02-19,north,1557.0
chartreuse morsel,3.0,521,2018-02-19,south,1563.0
chartreuse morsel,3.0,532,2018-02-19,east,1596.0
chartreuse morsel,3.0,504,2018-02-19,west,1512.0
periwinkle morsel,1.25,508,2018-02-19,north,635.0
periwinkle morsel,1.25,528,2018-02-19,south,660.0
periwinkle morsel,1.25,555,2018-02-19,east,693.75
periwinkle morsel,1.25,582,2018-02-19,west,727.5
vermilion morsel,4.99,596,2018-02-19,north,2974.04
vermilion morsel,4.99,570,2018-02-19,south,2844.3
vermilion morsel,4.99,572,2018-02-19,east,2854.28
vermilion morsel,4.99,594,2018-02-19,west,2964.06
lapis morsel,1.99,551,2018-02-19,north,1096.49
lapis morsel,1.99,503,2018-02-19,south,1000.97
lapis morsel,1.99,568,2018-02-19,east,1130.32
lapis morsel,1.99,561,2018-02-19,west,1116.39
pink morsel,3.0,566,2018-02-20,north,1698.0
pink morsel,3.0,525,2018-02-20,south,1575.0
pink morsel,3.0,500,2018-02-20,east,1500.0
pink morsel,3.0,517,2018-02-20,west,1551.0
gold morsel,9.99,581,2018-02-20,north,5804.1900000000005
gold morsel,9.99,544,2018-02-20,south,5434.56
gold morsel,9.99,569,2018-02-20,east,5684.31
gold morsel,9.99,595,2018-02-20,west,5944.05
magenta morsel,2.5,521,2018-02-20,north,1302.5
magenta morsel,2.5,583,2018-02-20,south,1457.5
magenta morsel,2.5,578,2018-02-20,east,1445.0
magenta morsel,2.5,573,2018-02-20,west,1432.5
chartreuse morsel,3.0,557,2018-02-20,north,1671.0
chartreuse morsel,3.0,582,2018-02-20,south,1746.0
chartreuse morsel,3.0,552,2018-02-20,east,1656.0
chartreuse morsel,3.0,524,2018-02-20,west,1572.0
periwinkle morsel,1.25,593,2018-02-20,north,741.25
periwinkle morsel,1.25,530,2018-02-20,south,662.5
periwinkle morsel,1.25,521,2018-02-20,east,651.25
periwinkle morsel,1.25,597,2018-02-20,west,746.25
vermilion morsel,4.99,581,2018-02-20,north,2899.19
vermilion morsel,4.99,521,2018-02-20,south,2599.79
vermilion morsel,4.99,583,2018-02-20,east,2909.17
vermilion morsel,4.99,517,2018-02-20,west,2579.83
lapis morsel,1.99,522,2018-02-20,north,1038.78
lapis morsel,1.99,533,2018-02-20,south,1060.67
lapis morsel,1.99,587,2018-02-20,east,1168.1299999999999
lapis morsel,1.99,518,2018-02-20,west,1030.82
pink morsel,3.0,579,2018-02-21,north,1737.0
pink morsel,3.0,514,2018-02-21,south,1542.0
pink morsel,3.0,555,2018-02-21,east,1665.0
pink morsel,3.0,516,2018-02-21,west,1548.0
gold morsel,9.99,575,2018-02-21,north,5744.25
gold morsel,9.99,500,2018-02-21,south,4995.0
gold morsel,9.99,558,2018-02-21,east,5574.42
gold morsel,9.99,508,2018-02-21,west,5074.92
magenta morsel,2.5,587,2018-02-21,north,1467.5
magenta morsel,2.5,569,2018-02-21,south,1422.5
magenta morsel,2.5,507,2018-02-21,east,1267.5
magenta morsel,2.5,517,2018-02-21,west,1292.5
chartreuse morsel,3.0,546,2018-02-21,north,1638.0
chartreuse morsel,3.0,563,2018-02-21,south,1689.0
chartreuse morsel,3.0,512,2018-02-21,east,1536.0
chartreuse morsel,3.0,556,2018-02-21,west,1668.0
periwinkle morsel,1.25,507,2018-02-21,north,633.75
periwinkle morsel,1.25,584,2018-02-21,south,730.0
periwinkle morsel,1.25,558,2018-02-21,east,697.5
periwinkle morsel,1.25,594,2018-02-21,west,742.5
vermilion morsel,4.99,557,2018-02-21,north,2779.4300000000003
vermilion morsel,4.99,522,2018-02-21,south,2604.78
vermilion morsel,4.99,568,2018-02-21,east,2834.32
vermilion morsel,4.99,588,2018-02-21,west,2934.1200000000003
lapis morsel,1.99,596,2018-02-21,north,1186.04
lapis morsel,1.99,572,2018-02-21,south,1138.28
lapis morsel,1.99,524,2018-02-21,east,1042.76
lapis morsel,1.99,537,2018-02-21,west,1068.6299999999999
pink morsel,3.0,545,2018-02-22,north,1635.0
pink morsel,3.0,544,2018-02-22,south,1632.0
pink morsel,3.0,556,2018-02-22,east,1668.0
pink morsel,3.0,588,2018-02-22,west,1764.0
gold morsel,9.99,529,2018-02-22,north,5284.71
gold morsel,9.99,531,2018-02-22,south,5304.6900000000005
gold morsel,9.99,516,2018-02-22,east,5154.84
gold morsel,9.99,542,2018-02-22,west,5414.58
magenta morsel,2.5,577,2018-02-22,north,1442.5
magenta morsel,2.5,525,2018-02-22,south,1312.5
magenta morsel,2.5,520,2018-02-22,east,1300.0
magenta morsel,2.5,530,2018-02-22,west,1325.0
chartreuse morsel,3.0,554,2018-02-22,north,1662.0
chartreuse morsel,3.0,528,2018-02-22,south,1584.0
chartreuse morsel,3.0,533,2018-02-22,east,1599.0
chartreuse morsel,3.0,521,2018-02-22,west,1563.0
periwinkle morsel,1.25,576,2018-02-22,north,720.0
periwinkle morsel,1.25,586,2018-02-22,south,732.5
periwinkle morsel,1.25,521,2018-02-22,east,651.25
periwinkle morsel,1.25,507,2018-02-22,west,633.75
vermilion morsel,4.99,524,2018-02-22,north,2614.76
vermilion morsel,4.99,522,2018-02-22,south,2604.78
vermilion morsel,4.99,543,2018-02-22,east,2709.57
vermilion morsel,4.99,573,2018-02-22,west,2859.27
lapis morsel,1.99,505,2018-02-22,north,1004.95
lapis morsel,1.99,508,2018-02-22,south,1010.92
lapis morsel,1.99,579,2018-02-22,east,1152.21
lapis morsel,1.99,600,2018-02-22,west,1194.0
pink morsel,3.0,511,2018-02-23,north,1533.0
pink morsel,3.0,521,2018-02-23,south,1563.0
pink morsel,3.0,547,2018-02-23,east,1641.0
pink morsel,3.0,591,2018-02-23,west,1773.0
gold morsel,9.99,519,2018-02-23,north,5184.81
gold morsel,9.99,536,2018-02-23,south,5354.64
gold morsel,9.99,551,2018-02-23,east,5504.49
gold morsel,9.99,541,2018-02-23,west,5404.59
magenta morsel,2.5,502,2018-02-23,north,1255.0
magenta morsel,2.5,578,2018-02-23,south,1445.0
magenta morsel,2.5,516,2018-02-23,east,1290.0
magenta morsel,2.5,582,2018-02-23,west,1455.0
chartreuse morsel,3.0,546,2018-02-23,north,1638.0
chartreuse morsel,3.0,527,2018-02-23,south,1581.0
chartreuse morsel,3.0,578,2018-02-23,east,1734.0
chartreuse morsel,3.0,550,2018-02-23,west,1650.0
periwinkle morsel,1.25,562,2018-02-23,north,702.5
periwinkle morsel,1.25,519,2018-02-23,south,648.75
periwinkle morsel,1.25,506,2018-02-23,east,632.5
periwinkle morsel,1.25,592,2018-02-23,west,740.0
vermilion morsel,4.99,521,2018-02-23,north,2599.79
vermilion morsel,4.99,578,2018-02-23,south,2884.2200000000003
vermilion morsel,4.99,599,2018-02-23,east,2989.01
vermilion morsel,4.99,521,2018-02-23,west,2599.79
lapis morsel,1.99,501,2018-02-23,north,996.99
lapis morsel,1.99,523,2018-02-23,south,1040.77
lapis morsel,1.99,551,2018-02-23,east,1096.49
lapis morsel,1.99,600,2018-02-23,west,1194.0
pink morsel,3.0,543,2018-02-24,north,1629.0
pink morsel,3.0,566,2018-02-24,south,1698.0
pink morsel,3.0,575,2018-02-24,east,1725.0
pink morsel,3.0,574,2018-02-24,west,1722.0
gold morsel,9.99,532,2018-02-24,north,5314.68
